generation,deck_uid,win_rate
0,fEtdlethsjmcazyanjzuvaBaordAnt,0
0,EBkECqyefnxxeqdrixCawwhlreerjy,0
0,ohEidrxoaDhCirDnoqfrghjlEwkkEE,1
0,cukoBkowdADgqeCekEsrizphlsCAqe,6
0,fDByancrvCmwojlnACujDurqgiyEpB,0
0,unjmBEDzgzApcAgAhzqBwybpbtwuyo,0
0,hlrzAgqzbpuAseousCmCCoryzterEq,3
0,mpqhkrcBgbycfbywffkkeBrEsDlbeA,4
0,rdaqilBmjbEzCCCorCdwxnmbvecwtj,1
0,EqDqrsEoyxwofAbDnDszjajxpfChEC,0
0,kczklBewkCisEijDymhBfjidykztEh,4
0,jroelbotujangivdugjxivluiEjels,2
0,brCwEmkvyksCCagnrzbnisDqiukojt,1
0,dyqpxetDlazAaoniwwzBqexqhjjBoB,0
0,rdkxrAyamyolhfnpfdfCysjypydnfm,0
0,DsDfbegtBnzewqdgBdpuqqbtzhsfwb,2
0,taxusplocBBmntshrzAlznpyxsalru,0
0,kDjiiDlwzsmDEmmdasfBEcskabAemt,6
0,clebyqwAmdlsiyCmptubvqyuECqBnA,0
0,AvjazCqyrCdCcCgfsypwtlBekijjkC,1
0,cfubnweqzCziEsuxolhqeibbBmstcD,2
0,rAfvCEthDseClmjalwkzuzoBAklywp,1
0,lgvvwutxrkwqmDAoinBhwflAywulAE,0
0,loiemtbCxoxzqlgnrAthkCwAjueqre,6
0,mgeuwuCexBqlsxahdscxrpwupiqBwj,1
0,jycihhjvoAgcnwEefBmmqryivdjjAq,1
0,mqumxlmgryyqCgeyxfElqarwgrmuxh,0
0,fomEpiqgbastwpqulbnkCthrwrBElg,1
0,ftkzrEcodmcvaeosAhjAwdsckfbrwm,6
0,weEhAxahjqqvodkdrsyloprAsAhfuv,2
0,DsDuofhmvErCbtruqkhorbmEjzfdkf,3
0,hdljdpruptplrmazguBlBmnnkAgttA,1
0,cimawbkvCntDsfxznvcdheiijupkcy,3
0,uialcjExrxixzktyhAytejcEhorupw,1
0,yozjEbrkcyBfDnqirBCtpxodEakvdf,1
0,cubssgeADmtBcxwDvuoDowkcfACjBr,2
0,EfCvhrelmaqoBfftEabAitaqdihmAh,0
0,fqgCzzmmwejCzldvnzEtEhbfoybglr,0
0,usrbEcExqaizcrifepsdaakkCvpbvv,2
0,yanEsrcxrBugetvdhykpBhABlcDpwB,0
0,CcheezAiBoynspEozjmclwvbdbvxhe,3
0,evuDcxCDodqtguAhdejzBcDjvjaelj,0
0,irgmhkrtlthgbhgaahinzAgvrkwftB,0
0,xzAhllujrrfwkpimpDvyujvygjAyzw,0
0,momrfjEnrixgnsEpgcvxcnsktEhnsr,1
0,kjbEjstnmAEevpvpaiacAfDlxkbwvm,1
0,egwdegvfamAoiqttztzwgyvbleCpya,2
0,gybqAjepDabwDbhytcloutCAAroaka,2
0,mkjgugDkkdvvjcpifqsymopsxzkald,1
0,xcxaygpsDgEEjxyglrEerEjpdDDicu,0
0,mrbeCsCdyljnepnkizpCsEEhsxzdEs,0
0,phoADjiBlawfwpeCdrtCaApoijmhbq,0
0,nrlxDBmbsbynhsidnubdhrrkByksbx,0
0,jaAzBqDqswujliejymvvesnpirzsbu,1
0,vksqazrcotffglEcyxkbAsirlzgxtC,0
