generation,deck_uid,win_rate
0,aklpoadaobucndqelgtnhgjcusisie,1
0,lueerjgpkdfruplqipqcjnajdmnoar,1
0,dosnojhjfutkbclrppfpfubsnngcru,2
0,njtrubfbchccnofcaesfshkojilqkc,3
0,eedaqopaehgqbbgjjqkrurlblguems,0
0,fpcpbrdoafulofnjndborejphgmrfh,2
0,otpfolkjfeithqmdhbmgjqoaaaarbs,1
0,jasacisagoagprlkuttpqhllnmiomq,1
0,jfpcdpdlqjniuedgdgeepuiojtmnpd,1
0,lhtrrcgkhnqjgaluckpunqbqqbplcs,0
0,moqrkntsulslqimmbhckkcbdphrlql,1
0,plsmuftdcdnirasoscgufduheucqnp,1
0,iftlfdkmecsqqqjmphdoljebcoille,4
0,mijgeqgmtaehsfrtmepughspkoehgl,1
0,kfirsmhgnkplklqudppaknfitdhnqf,0
0,qptreihpstftkpihktmlqqtrdgplrb,1
0,bulpfuapcpqnenhppalkflmpkchkhe,5
0,dkemftdqqdnkoelafemfbburroskte,0
0,kljgrkfmsdgnjimqgagmmtkipkpnic,2
0,nudmhbnckhfgckbkubeecceqphnuai,1
0,fmspkpbuqlacdefleuqcuakcfuodsh,0
0,ijfdheljepnettrpnilhridnmngcsb,1
0,mnpopbqrlfflffsrpjtsjhuqoignnj,2
0,pqfkpctomasenmljogdqfbnrbsiaed,4
0,qfqrbhsffcrhigfpdnqreunoaddmqc,1
0,plhftrnedqnqqbcsukfadfiornfqot,3
0,phbiqjmpmheqsnqhjhotgejpfpghnu,1
0,lmlhliqdcdhsplceimskoajqgtaeup,5
0,kncersstknieqlakalfpdbqcastulr,0
0,chpeibhugrntcfunbmummutehdsrdj,0
0,gniuockaumkeockogiijplkusgqlcf,4
0,qkfrplbgakkplmjfsadddhbjodmufc,1
0,udpqsicguutsnmjqsgndslaebqkqil,1
0,tpsurhtptlptucltktigmqlnighint,0
0,kfjohdfpglslmtcueruueghebjcbns,3
0,qcqjnhnftjgaontnblobkendlloili,4
0,rbcioruhndpsmeoknrgihksehnmslu,2
0,iemeusacjocnoikjkejuiqeljbdfrn,4
0,rngfiuupildpsmejbhsomhgjapklph,2
0,irleqlihrubkthapohuammrsbeqrgm,2
0,tmttetpgaggdqkktbqsinemirmduam,0
0,prkmeltendqeooebggntkdfjcmghtm,2
0,ekuneuusuncaqacauhuqeuaufcqccn,1
0,etmdfooebleshamdlucuoqblmhhqcf,2
0,fnunqamaoghsdobehfqimerkmgbmml,1
0,ccbbuadqukkrghicftkicbnrmppgop,0
0,jcsaskqshldmksaqatapfhusacdpmt,0
0,mfpbqqtugmiklsjahgctckdhcgldeu,1
0,jopkestgkjddhutlttrqlktkfljlhm,0
0,ujulsaptrealncjumoemjsbrbsjnkl,1
0,ihobimndqiqdpcgfqtpnjcmsetbrim,0
0,tcoriisttfifjmchcnpstfjsphauns,4
0,tkhhpersgaoubcrpskpeogfoljllqe,2
0,fetbidjjgmjsuejnbnebgifeitrqod,2
0,difisbolecfjruukpcnpmfilkqjtdr,1
0,hjnfjcptpihoiqlgmqrajbrrrknnau,2
0,rrsdahnsgfdhruocmhoqqafllirouq,1
0,fhcccdgsjmcmouoeqkuoistdgjsbfb,2
0,srgudcbiasriclqsgtbgrtqijorcbu,0
0,maipehcldlsqigqieirghmsjhcfdlf,3
0,bkooriibsccopqpoukujjahociesjm,2
0,teuemofubkrfakpoqehfmapcjqnkuu,0
0,qfiuscmukhkpftbgnuscibgqfkhfpu,0
0,nhanrjhrbrnitgdjnbcntpihmtdbes,1
0,agqdnslsbqalggtuceagiigpiogjmk,1
0,irnipicjacqgeoouoimutjmmgtuhjr,3
0,nntdhknafekcdrdtumohnlemqdeqid,2
0,rkpgcfhbgphbkjcipepisoldbijfmh,2
0,gffelgkjskbkiqntflsigheuimahrd,1
0,ffankmodujicfgbgdhijmdjotqiajb,3
0,stoocbuljdgrdjebikcsgccqdpdihg,2
0,cqqmuqeukblprostcrqbuhprtjunol,0
0,bnbbnejhnuarnlahjukckrjmqrgauf,1
0,dptqpdremfpuhfjrttngnfldrkmagu,0
0,kdehdfnipmppcbmktjtdrttppfforn,2
0,jnkmdqtgnrjeiimkblbiakfiebpcrt,1
0,kjalnknbjatosroaslalqpqcraport,2
0,bthmlratouhpakolqraabsesqcpllm,1
0,odiiuusqoignhbmkntpasgpiakddel,0
0,pqtnrfkelhhufefmogrhokuqsqulqn,0
0,ebofkpbbgfltgdrahjrufcobjdljjk,3
0,lsfhnsedlncmuqbjqfspdgtktsehut,0
0,drtusebgtfusjeacsfemkftqdbinqq,0
0,qofjmfmsiortcrtgjckodulhrtieru,3
0,bpaedrhoaepgkgqsrhosppuehronic,3
0,adrsiefsnrpoehuofjduradbidsokp,0
0,gdfarmeolinjskofkeugpismdgospq,1
0,feigsgdhtleescqnmuqfdbmubbrhgu,0
0,kfarhrmeuirahstieboqsbljppplem,1
0,eujrhpjegsncimrthpcrminumduksu,0
0,nlrudgprhsktiirsdlsabdafomhmtp,1
0,scctjauuatginuohdhghlfiieprcft,2
0,aliurrkcipfugnsiiqaqooostpdcup,0
0,lrgknrjbkqgfckarjhaprfknimotnu,0
0,dpbuqkficeeploohctrfanthpjqugs,4
0,ledkhsuuecisktunlhujdhmurrolfl,1
0,jrhdkaimpfhlibpejttjctbaeqduok,3
0,pmcbmolpqphjmkrjbhhkgcanrmijsn,2
0,dqmdnjhaebephhgglatgdudjcelbkg,4
0,tgpnuibggqthnjklldnhdbouhplgul,1
0,tthujdnekdikfbsuuqnjdsudkmulae,0
0,aatgklbiskntisetblftjobjbcbmoc,1
0,rhdhktqooobpkuftjbosqhqbjpnelr,0
0,dkbuhdbccforndbdhthsbtgphnlehk,1
0,mugjhhkbmqanabphigesnnpcqeacra,2
0,iqpjqlsnkfdhhbqcuhduhejchnfjdr,0
0,juesgskuacdegubhpmugjmadukdjgm,0
0,atltgorgudkijpisrppeaadtrpimoc,3
0,gogtcccptoarnlujadrbocrmebcsnl,4
0,pupfcouaqrssnepelpslekkocqcnru,2
0,qkfmbpplantulgjgephifhasttcffb,0
0,rjnoknppgnjblcalfojriqgeaujrtk,4
0,ahmkgbantbljasslbbljdglqshdalp,0
0,itdoumnhriqssndigdmmhulqtdmukl,0
0,gjbanjfegebjptcpnqlbsadabkrlgi,0
0,aufdjdfpdkhallepknlujhitmcnhfm,2
0,enqodufecdgcgrtmolmicslgdgdcea,2
0,usrcuiuracmrooobrpkuhrkndnbefb,0
0,hmlaehoetnqodajjnreaciojehjhth,5
0,dikiucnsohdcilfspgdorpubqrdkbr,2
0,qljtcbmkqalbksndnngfuegggusiab,0
0,plbargrfsldmkadngcndccdakhlmje,2
0,bbniqedibomrdthebthhijganqoale,1
0,hmhnesdrnucgsrnnfcgosjadikfubp,3
0,fpbffuiiekhijrjsgsrmtkeahioofi,2
0,hjtceradbobibgtkhtguiidfkeafpg,1
0,bmkrgcrendfrrjtknassoensmcoccm,1
0,ugceehpuclaerfdetdrjekjnpafpdf,3
0,lthaqgksffccbpuifhaehktohbsujm,2
0,ueikajurqmbhorhmaqbkmrbdgasalm,2
0,mkucqenprqekeclfnholfhooqeqbfq,4
0,lipjeheodnlfmfuabepejujktrtije,0
0,sjdqjocporcbqiarpmejeigfofdulg,2
0,betcjapnssuhqfrheekrkgagpbdpgp,1
0,lqpelflslgfisfkejroohjiaojjmuu,4
0,fnkqhifhhipsjinsklufebboieulmh,4
0,fsdmsliptkorhapeihpgdfmisdjhep,3
0,ipgqitogomscnrcsjptgqcsinrbuob,0
0,hqpnqkrglfgkiibupctedehctdkjnn,0
0,upnliafggutbcnkirkbadulioqrtqq,0
0,tosqssmflbjlkfgdslbkhsmlngcjbs,2
0,eepnjbpilupnkmsqdtglmbridgnauj,2
0,dgtebblnafrkrotidhpmfkphchgshf,3
0,hpokflkuaullnubhrhpgdrhgdqhilk,0
0,tujmpdrkglrhmuibedrjldsnmgnokb,1
0,jmebmjimkoqrbmkuadilflognegeti,1
